glossary_id,term,category,definition,tkdl_original_term,source_url,verification_status
GLOS-0050,Arka,Dravyagu´a,Sa¼sk¨ta name for the medicinal plant Calotropis procera Dryand,Arka,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
GLOS-0051,Arka,Bhai¾ajya Kalpan¢,A pharmaceutical preparation of volatile drugs. The term refers to distilled or concerntrated aromatic waters used both in ¡yurveda & Un¢n¤ medicine. It is prepared by distillation of drugs which have been soaked in water for at least twenty four hours. Such preparations can be preserved for longer periods of time than infusions.,Arka,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
GLOS-0052,Artha,Pad¢rtha Vij®¢na,"Literally the term refers to the meaning of a word or phrase, i.e; final essence of any thought. Specifically, it stands for goal, purpose or the object of pursuit, which is desired, desirable and satisfies the acquiring tendency of an individual. Also represents material prosperity as one of the four vital accomplishments of human life.",Artha,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
GLOS-0053,Aṣ°ā¬ga ¡yurveda,Pad¢rtha Vij®¢na,"The eight branches/disciplines of ¡yurveda are collectively named as A¾°¢¬ga ¡yurveda. These are: K¢yacikits¢ (internal medicine), Kaum¢ra Bh¨tya (paediatrics), Bh¦ta Vidy¢ (psychiatry), ¹¢l¢kya (otorhinolaryngology and ophthalmology), ¹alya (surgery), Agada Ta¼tra (toxicology), Ras¢yana (Geriatrics) & V¢j¤kara´a (eugenics and aphrodisiacs).",A¾°¢¬ga ¡yurveda,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0054,Aṣ°ā¬ga Hśdaya,Sa¼hit¢,"One of the three major treatises of Indian medicine, a classical text of seventh century by V¢gabatta. It is regarded as a concise version of A¾°¢¬ga Sa¬graha, which is predominently based on Caraka and Suºruta Sa¼hit¢. The text represents scientific advancements over the ancient treatises and provides a complete description of ¡yurveda in itself.",A¾°¢¬ga H¨daya,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0055,Aṣ°avarga,Dravyagu´a,"A group of eight rare medicinal herb roots which are alterative and nutritive in nature. They promote health and are beneficial in general debility due to chronic wasting disorders.These include: J¤vaka, §¾abhaka, Med¢, Mah¢med¢, §ddhi, V¨ddhi, K¢kol¤ & K¾¤rak¢kol¤.  Most of the drugs of the group are not available now a day. Substitutes (Pratinidh¤ Dravya) are used in place of such drugs. Given with warm milk and Gh¨ta as an adjuvant, group is an ingredient of popularly used Avleha, Cyavanapr¢ºa.",A¾°avarga,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0056,Aṣ°avidha Par¤kṣā,Roga Nid¢na,"One of the types of Rog¤ Par¤k¾¢, the term literally means eight fold methods of examination. These includes the examination of N¢å¤ (pulse), Mala (stool), M¦tra (urine), Jihv¢ (tongue), ¹abda (voice), Sparºa (skin), D¨k (vision) and ¡k¨ti (appearance). It gives an idea about the patient's general condition and the type of illness. Also hepful to analyze the prognosis of disorder.",A¾°avidha Par¤k¾¢,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0057,Asthi,Racan¢ ¹¢r¤ra,"Bone tissue. One of the seven bodily components (Dh¢tus), it is said to be derived from fat (Med¢) & generative of bone marrow (Majj¢). Being the hardest structure, it provides support, shape and protection to human body, apart from nourishing the bone marrow.",Asthi,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
GLOS-0058,Auṣadhi,K¢yacikits¢,"Sa¼sk¨ta term for drugs with therapeutic value. Specifically, the term is used for therapeutic modalities, remedies and the treatment. It signifies all the healing methods including rituals and the invocations which are conducive to health. One of the three pillars of ¡yurveda (Tris¦tra), Au¾adh¤ deals with the managment of the disorders. See Bhe¾aja also.",Au¾adhi,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0059,Avagāhana,K¢yacikits¢,"A type of wet fomentation (Drava Sveda), which involves soaking the affected part in a container filled with warm medicated fluids. Comparable to tub bath, it promotes the circulation, calms the nerves, strengthens the muscles and relieves the pain and stiffness. It is specifically used for V¢ta disorders, haemorrhoids, dysuria and other painful conditions. See Drava Sveda also.",Avag¢hana,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0060,Avalambaka Kapha,Kriy¢ ¹¢r¤ra,"One of the five subtypes of Kapha, Avalambaka is located in the heart and lung region and performs the vital functions of nourishing, lubricating and protecting both the structures.",Avalambaka Kapha,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
