source_text_id,system,title,author,editor,publisher,edition,publication_year,description,tkdl_url,source_type
TKDL-AYU-BK-067,Ayurveda,Rasahrdayatantrama,Govindabhagavatpada,Translated by Daulatram Rasashastri,,Edn. 2nd,2001,"Commentary by Chaturbhuja Mishra & Translated by Daulatram Rasashastri, Chaukhamba Publishers (Varanasi), Edn. 2nd 2001",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-068,Ayurveda,Rasakamadhenu - Part 1-3,Chudamani Mishra,Edited by Yadavaji Trikamji Acharya,Chaukhamba Orientalia (Varanasi),Edn. 1st,1988,"Edited by Yadavaji Trikamji Acharya, Published by Chaukhamba Orientalia (Varanasi), Edn. 1st 1988",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-069,Ayurveda,Rasakamadhenu Samhita - Part 4,Cudamani,Edited by Jivaramakalidasa Sastri,"Chaukhambha Publishers, Varanasi",Edn. 1st,1992,"Edited by Jivaramakalidasa Sastri, Published by Chaukhambha Publishers, Varanasi, Edn. 1st 1992",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-070,Ayurveda,Rasamritam,Yadavaji Trikamaji Acharya,Translated by Damodar Joshi and G Prabhakar Rao,"Chaukhambha Sanskrit Bhawan, Varanasi",,2003,"Translated by Damodar Joshi and G Prabhakar Rao, Published by Chaukhambha Sanskrit Bhawan, Varanasi, 2003",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-071,Ayurveda,Rasapaddhatih,Bindu,,"Chaukhambha Orientalia, Varanasi",Edn. 1st,1987,"Commentary by Siddhinandan Mishra, Published by Chaukhambha Orientalia, Varanasi, Edn. 1st, 1987",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-072,Ayurveda,Rasapradipa,Ravidatta Shastri,Translated by Prof. Siddhi Nandan Mishra,Chaukhamba Orientalia (Varanasi),Edn. 1st,2009,"Translated by Prof. Siddhi Nandan Mishra, Padmini Rao & Prakash Deshapande, Published by Chaukhamba Orientalia (Varanasi), Edn. 1st, 2009",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-073,Ayurveda,Rasaprakashasudhakara,Yashodhara Bhatt,Translated by Siddhinandan Mishra,Chaukhamba Orientalia (Varanasi) Edn. 2nd 1998,Edn. 2nd,1998,"Translated by Siddhinandan Mishra, Published by Chaukhamba Orientalia (Varanasi) Edn. 2nd 1998",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-074,Ayurveda,Rasarajamahodadhi - Part-1,Bhagat Bhagavanadasa,,"Khemraj Shrikrishnadas, Shri Venkateshwar Press Mumbai",,2008,"Published by Khemraj Shrikrishnadas, Shri Venkateshwar Press Mumbai, Edition May- 2008",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-075,Ayurveda,Rasarajamahodadhi - Part-2,Bhagat Bhagavanadasa,,"Khemraj Shrikrishnadas, Shri Venkateshwar Press",,2007,"Published by Khemraj Shrikrishnadas, Shri Venkateshwar Press, Mumbai, Edition, April-2007",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-076,Ayurveda,Rasarajamahodadhi - Part-3,Bhagat Bhagavanadasa,,"Khemraj Shrikrishnadas, Shri Venkateshwar Press",,2007,"Published by Khemraj Shrikrishnadas, Shri Venkateshwar Press, Mumbai, Edition, December-2007",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
